"s_notes","s_en","s_fr"
"COMMENT Notes","COMMENT English","COMMENT français"
"","A database error occurred.","Une erreur de base de données s'est produite."
"","A required entry is missing.","FA required entry is missing."
"","Access Denied","accès refusé"
"","Access to members-only pages is not currently allowed.","FAccess to members-only pages is not currently allowed."
"","Account activated","FAccount activated"
"","Account activation","FAccount activation"
"<username> (keep %s)","Add or update optional contact information for %s.","FAdd or update optional contact information for %s."
"<username> (keep %s)","Add or update profile items for %s.","FAdd or update profile items for %s."
"","Alternate email address:","FAlternate email address:"
"","Alternate phone number:","FAlternate phone number:"
"(keep <...>)","An example name is: <i>Marie & J.B. Chrétien</i>.","FAn example name is: <i>Marie & J.B. Chrétien</i>."
"(keep <...>)","An example username is: <i>mr_spider</i>.","FAn example nom d'utilisateur  is: <i>mr_spider</i>."
"","City:","ville :"
"","Civic number:","FCivic number:"
"<username> <web site> (keep %..s)","Click the following link to activate (or reactivate) your account for user %1$s at %2$s:","FClick the following link to activate (or reactivate) your account for user %1$s at %2$s:"
"","Communication by post (dues increase $10):","FCommunication by post (dues increase $10):"
"","Continue","Continuer"
"","Cottage address","FCottage address"
"","Cottage phone number:","FCottage phone number:"
"","Cottage road:","FCottage road:"
"","Country (if not Canada):","FCountry (if not Canada):"
"","Email","courriel"
"","Email address:","FEmail address:"
"","Entries are case-sensitive.","FEntries are case-sensitive."
"","Entries may contain spaces, but leading and trailing spaces are ignored.","FEntries may contain spaces, but leading and trailing spaces are ignored."
"","Error","erreur"
"","First name:","FFirst name:"
"code will append 'membership.' (translated)","If your dues have been paid, or for further information, please contact","FIf your dues have been paid, or for further information, please contact"
"","Include me in the member directory:","FInclude me in the member directory:"
"","Keep my cottage phone number private:","FKeep my cottage phone number private:"
"","Keep my email address(es) private:","FKeep my email address(es) private:"
"","Keep these phone number(s) private:","FKeep these phone number(s) private:"
"","Last name:","FLast name:"
"minimum (%1$d) and maximum (%2$d) sizes","Last- and First name entries must have between %1$d and %2$d characters, and may contain typical punctuation.","FLast- and First name entries must have between %1$d and %2$d characters, and may contain typical punctuation."
"","Mailing address","FMailing address"
"","Mailing options","FMailing options"
"","membership","adhésion"
"<year> (keep %d)","Membership is paid up through %d.","FMembership is paid up through %d."
"","Membership requires your name to identify you.","FMembership requires your name to identify you."
"selectable option","no","non"
"","No dues payment has been recorded.","FNo dues payment has been recorded."
"","Number and street or post box:","FNumber and street or post box:"
"","Password or passphrase (entered twice, once in each box):","FMot de passe or passphrase (entered twice, once in each box):"
"","Password or passphrase:","FMot de passe or passphrase:"
"","Phone number:","FPhone number:"
"","Please enter the largest of these numbers:","FPlease enter the largest of these numbers:"
"","Please sign in","FPlease sign in"
"","Please sign in to access the members-only pages.","S'il vous plaît connectez-vous à accéder aux pages réservées aux membres."
"","Postal code or zip code:","FPostal code or zip code:"
"","Preferred language for correspondence:","FPreferred language for correspondence:"
"","Profile update","FProfile update"
"","Province or state:","FProvince or state:"
"","Register a new user","FRegister a new user"
"","Remember me on this computer","FRemember me on this computer"
"command to restore old displayed entries","Reset","FReset"
"","Return to the signin page","FReturn to the signin page"
"command to store data","Save","FSave"
"","Sign in","entrer"
"","Sign out","quitter"
